iter	Passed	Remaining
626	3093	4307
627	3098	4302
628	3103	4297
629	3108	4292
630	3113	4287
631	3118	4283
632	3123	4278
633	3128	4272
634	3132	4266
635	3137	4261
636	3143	4258
637	3147	4252
638	3152	4247
639	3157	4243
640	3162	4237
641	3166	4232
642	3171	4227
643	3177	4223
644	3182	4218
645	3186	4212
646	3192	4208
647	3197	4204
648	3202	4198
649	3206	4193
650	3212	4189
651	3217	4184
652	3223	4180
653	3228	4175
654	3232	4170
655	3238	4165
656	3242	4161
657	3247	4155
658	3252	4150
659	3257	4145
660	3262	4141
661	3267	4135
662	3272	4131
663	3277	4126
664	3282	4121
665	3287	4116
666	3291	4111
667	3296	4105
668	3301	4101
669	3306	4096
670	3312	4091
671	3317	4087
672	3321	4082
673	3326	4076
674	3330	4071
675	3335	4066
676	3340	4061
677	3345	4055
678	3350	4051
679	3355	4046
680	3360	4041
681	3365	4036
682	3370	4031
683	3374	4025
684	3379	4020
685	3384	4016
686	3389	4010
687	3393	4005
688	3398	4000
689	3403	3995
690	3408	3990
691	3413	3985
692	3417	3979
693	3423	3975
694	3428	3970
695	3433	3965
696	3437	3960
697	3442	3954
698	3446	3949
699	3451	3944
700	3456	3939
701	3460	3934
702	3466	3929
703	3471	3925
704	3476	3920
705	3481	3915
706	3486	3910
707	3491	3905
708	3495	3899
709	3501	3896
710	3506	3891
711	3511	3886
712	3516	3881
713	3521	3877
714	3526	3872
715	3531	3866
716	3535	3861
717	3540	3856
718	3545	3851
719	3550	3846
720	3556	3842
721	3561	3837
722	3566	3832
723	3570	3826
724	3575	3822
725	3580	3816
726	3584	3811
727	3590	3807
728	3595	3802
729	3600	3797
730	3605	3792
731	3610	3787
732	3614	3782
733	3620	3777
734	3625	3773
735	3630	3768
736	3634	3763
737	3640	3758
738	3644	3753
739	3649	3747
740	3653	3742
741	3658	3737
742	3663	3732
743	3669	3728
744	3674	3723
745	3679	3718
746	3683	3713
747	3689	3708
748	3693	3703
749	3698	3698
750	3704	3694
751	3709	3690
752	3714	3684
753	3719	3680
754	3724	3675
755	3730	3670
756	3734	3665
757	3740	3661
758	3745	3657
759	3750	3651
760	3755	3646
761	3760	3641
762	3765	3637
763	3770	3631
764	3775	3627
765	3780	3622
766	3785	3617
767	3790	3612
768	3795	3607
769	3799	3602
770	3804	3597
771	3809	3592
772	3814	3587
773	3819	3582
774	3825	3578
775	3830	3574
776	3835	3569
777	3840	3564
778	3845	3558
779	3849	3553
780	3854	3548
781	3859	3544
782	3864	3538
783	3869	3533
784	3874	3529
785	3879	3523
786	3883	3518
787	3889	3513
788	3893	3508
789	3899	3504
790	3904	3499
791	3910	3495
792	3915	3490
793	3921	3486
794	3925	3481
795	3930	3476
796	3935	3470
797	3940	3466
798	3945	3461
799	3950	3456
800	3955	3451
801	3959	3446
802	3964	3440
803	3969	3436
804	3974	3431
805	3979	3426
806	3984	3421
807	3989	3416
808	3994	3411
809	3998	3406
810	4003	3401
811	4008	3396
812	4013	3391
813	4018	3386
814	4023	3381
815	4028	3376
816	4034	3372
817	4038	3367
818	4043	3362
819	4048	3357
820	4053	3352
821	4058	3347
822	4063	3342
823	4068	3337
824	4073	3332
825	4077	3327
826	4082	3322
827	4087	3317
828	4091	3312
829	4097	3307
830	4102	3303
831	4107	3298
832	4113	3293
833	4117	3288
834	4122	3283
835	4127	3278
836	4133	3273
837	4137	3268
838	4143	3264
839	4148	3259
840	4153	3254
841	4157	3248
842	4163	3244
843	4167	3239
844	4171	3233
845	4176	3228
846	4181	3224
847	4186	3218
848	4191	3213
849	4196	3209
850	4201	3203
851	4205	3198
852	4210	3193
853	4215	3189
854	4221	3184
855	4227	3180
856	4232	3175
857	4236	3170
858	4241	3165
859	4246	3160
860	4250	3154
861	4255	3149
862	4261	3145
863	4266	3140
864	4271	3135
865	4276	3130
866	4280	3125
867	4285	3120
868	4290	3115
869	4295	3110
870	4299	3105
871	4305	3100
872	4310	3095
873	4315	3091
874	4320	3086
875	4325	3081
876	4330	3076
877	4335	3071
878	4341	3067
879	4345	3061
880	4350	3056
881	4355	3052
882	4360	3046
883	4364	3041
884	4370	3036
885	4374	3031
886	4379	3026
887	4383	3021
888	4389	3016
889	4393	3011
890	4398	3006
891	4403	3001
892	4408	2996
893	4412	2990
894	4417	2986
895	4422	2981
896	4428	2977
897	4434	2972
898	4439	2967
899	4444	2962
900	4449	2958
901	4455	2953
902	4460	2948
903	4465	2944
904	4470	2939
905	4475	2934
906	4479	2929
907	4484	2923
908	4489	2918
909	4493	2913
910	4498	2908
911	4503	2903
912	4508	2898
913	4513	2893
914	4518	2888
915	4523	2884
916	4528	2879
917	4534	2874
918	4539	2869
919	4544	2865
920	4550	2860
921	4555	2855
922	4559	2850
923	4564	2845
924	4569	2840
925	4573	2835
926	4579	2830
927	4584	2825
928	4589	2820
929	4595	2816
930	4599	2810
931	4603	2805
932	4608	2800
933	4613	2795
934	4617	2790
935	4622	2785
936	4628	2780
937	4633	2776
938	4638	2771
939	4643	2766
940	4648	2761
941	4652	2756
942	4657	2750
943	4662	2746
944	4667	2741
945	4672	2736
946	4678	2732
947	4682	2726
948	4687	2721
949	4692	2716
950	4696	2711
951	4701	2706
952	4706	2701
953	4711	2696
954	4716	2691
955	4721	2686
956	4725	2681
957	4730	2676
958	4735	2671
959	4740	2666
960	4745	2661
961	4750	2656
962	4755	2651
963	4760	2646
964	4765	2641
965	4770	2637
966	4775	2632
967	4779	2626
968	4786	2622
969	4791	2617
970	4795	2612
971	4800	2607
972	4805	2602
973	4812	2598
974	4817	2594
975	4823	2589
976	4828	2584
977	4833	2580
978	4839	2575
979	4843	2570
980	4848	2564
981	4853	2560
982	4857	2554
983	4862	2549
984	4868	2545
985	4873	2540
986	4877	2535
987	4883	2530
988	4887	2525
989	4892	2520
990	4897	2515
991	4903	2511
992	4908	2506
993	4913	2501
994	4918	2496
995	4923	2491
996	4928	2486
997	4932	2481
998	4937	2476
999	4941	2470
1000	4947	2466
1001	4952	2461
1002	4956	2455
1003	4961	2450
1004	4966	2446
1005	4970	2440
1006	4975	2435
1007	4980	2430
1008	4985	2425
1009	4990	2421
1010	4995	2416
1011	5000	2411
1012	5004	2405
1013	5008	2400
1014	5014	2395
1015	5018	2390
1016	5023	2385
1017	5028	2380
1018	5033	2375
1019	5037	2370
1020	5041	2365
1021	5046	2360
1022	5052	2355
1023	5057	2350
1024	5062	2345
1025	5067	2341
1026	5071	2335
1027	5076	2330
1028	5081	2326
1029	5086	2320
1030	5091	2316
1031	5096	2311
1032	5101	2306
1033	5106	2301
1034	5111	2296
1035	5115	2291
1036	5120	2286
1037	5125	2281
1038	5130	2276
1039	5135	2271
1040	5139	2266
1041	5144	2261
1042	5149	2256
1043	5154	2251
1044	5159	2246
1045	5164	2241
1046	5168	2236
1047	5173	2231
1048	5179	2227
1049	5184	2222
1050	5189	2217
1051	5195	2212
1052	5199	2207
1053	5204	2202
1054	5209	2197
1055	5214	2192
1056	5220	2187
1057	5225	2182
1058	5230	2177
1059	5234	2172
1060	5239	2167
1061	5244	2163
1062	5250	2158
1063	5256	2153
1064	5261	2149
1065	5265	2143
1066	5270	2138
1067	5275	2134
1068	5280	2128
1069	5285	2123
1070	5290	2119
1071	5295	2114
1072	5300	2109
1073	5305	2104
1074	5310	2099
1075	5315	2094
1076	5319	2089
1077	5324	2084
1078	5329	2079
1079	5333	2074
1080	5339	2069
1081	5343	2064
1082	5348	2059
1083	5353	2054
1084	5358	2049
1085	5363	2044
1086	5367	2039
1087	5372	2034
1088	5377	2029
1089	5381	2024
1090	5387	2019
1091	5391	2014
